id_tiempo,dia,mes,anio,estacion
31122028,31,12,2028,Verano
1012029,1,1,2029,Verano
2012029,2,1,2029,Verano
3012029,3,1,2029,Verano
4012029,4,1,2029,Verano
5012029,5,1,2029,Verano
6012029,6,1,2029,Verano
7012029,7,1,2029,Verano
8012029,8,1,2029,Verano
9012029,9,1,2029,Verano
10012029,10,1,2029,Verano
11012029,11,1,2029,Verano
12012029,12,1,2029,Verano
13012029,13,1,2029,Verano
14012029,14,1,2029,Verano
15012029,15,1,2029,Verano
16012029,16,1,2029,Verano
17012029,17,1,2029,Verano
18012029,18,1,2029,Verano
19012029,19,1,2029,Verano
20012029,20,1,2029,Verano
21012029,21,1,2029,Verano
22012029,22,1,2029,Verano
23012029,23,1,2029,Verano
24012029,24,1,2029,Verano
25012029,25,1,2029,Verano
26012029,26,1,2029,Verano
27012029,27,1,2029,Verano
28012029,28,1,2029,Verano
29012029,29,1,2029,Verano
30012029,30,1,2029,Verano
31012029,31,1,2029,Verano
1022029,1,2,2029,Verano
2022029,2,2,2029,Verano
3022029,3,2,2029,Verano
4022029,4,2,2029,Verano
5022029,5,2,2029,Verano
6022029,6,2,2029,Verano
7022029,7,2,2029,Verano
8022029,8,2,2029,Verano
9022029,9,2,2029,Verano
10022029,10,2,2029,Verano
11022029,11,2,2029,Verano
12022029,12,2,2029,Verano
13022029,13,2,2029,Verano
14022029,14,2,2029,Verano
15022029,15,2,2029,Verano
16022029,16,2,2029,Verano
17022029,17,2,2029,Verano
18022029,18,2,2029,Verano
19022029,19,2,2029,Verano
20022029,20,2,2029,Verano
21022029,21,2,2029,Verano
22022029,22,2,2029,Verano
23022029,23,2,2029,Verano
24022029,24,2,2029,Verano
25022029,25,2,2029,Verano
26022029,26,2,2029,Verano
27022029,27,2,2029,Verano
28022029,28,2,2029,Verano
1032029,1,3,2029,Otoño
2032029,2,3,2029,Otoño
3032029,3,3,2029,Otoño
4032029,4,3,2029,Otoño
5032029,5,3,2029,Otoño
6032029,6,3,2029,Otoño
7032029,7,3,2029,Otoño
8032029,8,3,2029,Otoño
9032029,9,3,2029,Otoño
10032029,10,3,2029,Otoño
11032029,11,3,2029,Otoño
12032029,12,3,2029,Otoño
13032029,13,3,2029,Otoño
14032029,14,3,2029,Otoño
15032029,15,3,2029,Otoño
16032029,16,3,2029,Otoño
17032029,17,3,2029,Otoño
18032029,18,3,2029,Otoño
19032029,19,3,2029,Otoño
20032029,20,3,2029,Otoño
21032029,21,3,2029,Otoño
22032029,22,3,2029,Otoño
23032029,23,3,2029,Otoño
24032029,24,3,2029,Otoño
25032029,25,3,2029,Otoño
26032029,26,3,2029,Otoño
27032029,27,3,2029,Otoño
28032029,28,3,2029,Otoño
29032029,29,3,2029,Otoño
30032029,30,3,2029,Otoño
31032029,31,3,2029,Otoño
1042029,1,4,2029,Otoño
2042029,2,4,2029,Otoño
3042029,3,4,2029,Otoño
4042029,4,4,2029,Otoño
5042029,5,4,2029,Otoño
6042029,6,4,2029,Otoño
7042029,7,4,2029,Otoño
8042029,8,4,2029,Otoño
9042029,9,4,2029,Otoño
10042029,10,4,2029,Otoño
11042029,11,4,2029,Otoño
12042029,12,4,2029,Otoño
13042029,13,4,2029,Otoño
14042029,14,4,2029,Otoño
15042029,15,4,2029,Otoño
16042029,16,4,2029,Otoño
17042029,17,4,2029,Otoño
18042029,18,4,2029,Otoño
19042029,19,4,2029,Otoño
20042029,20,4,2029,Otoño
21042029,21,4,2029,Otoño
22042029,22,4,2029,Otoño
23042029,23,4,2029,Otoño
24042029,24,4,2029,Otoño
25042029,25,4,2029,Otoño
26042029,26,4,2029,Otoño
27042029,27,4,2029,Otoño
28042029,28,4,2029,Otoño
29042029,29,4,2029,Otoño
30042029,30,4,2029,Otoño
1052029,1,5,2029,Otoño
2052029,2,5,2029,Otoño
3052029,3,5,2029,Otoño
4052029,4,5,2029,Otoño
5052029,5,5,2029,Otoño
6052029,6,5,2029,Otoño
7052029,7,5,2029,Otoño
8052029,8,5,2029,Otoño
9052029,9,5,2029,Otoño
10052029,10,5,2029,Otoño
11052029,11,5,2029,Otoño
12052029,12,5,2029,Otoño
13052029,13,5,2029,Otoño
14052029,14,5,2029,Otoño
15052029,15,5,2029,Otoño
16052029,16,5,2029,Otoño
17052029,17,5,2029,Otoño
18052029,18,5,2029,Otoño
19052029,19,5,2029,Otoño
20052029,20,5,2029,Otoño
21052029,21,5,2029,Otoño
22052029,22,5,2029,Otoño
23052029,23,5,2029,Otoño
24052029,24,5,2029,Otoño
25052029,25,5,2029,Otoño
26052029,26,5,2029,Otoño
27052029,27,5,2029,Otoño
28052029,28,5,2029,Otoño
29052029,29,5,2029,Otoño
30052029,30,5,2029,Otoño
31052029,31,5,2029,Otoño
1062029,1,6,2029,Invierno
2062029,2,6,2029,Invierno
3062029,3,6,2029,Invierno
4062029,4,6,2029,Invierno
5062029,5,6,2029,Invierno
6062029,6,6,2029,Invierno
7062029,7,6,2029,Invierno
8062029,8,6,2029,Invierno
9062029,9,6,2029,Invierno
10062029,10,6,2029,Invierno
11062029,11,6,2029,Invierno
12062029,12,6,2029,Invierno
13062029,13,6,2029,Invierno
14062029,14,6,2029,Invierno
15062029,15,6,2029,Invierno
16062029,16,6,2029,Invierno
17062029,17,6,2029,Invierno
18062029,18,6,2029,Invierno
19062029,19,6,2029,Invierno
20062029,20,6,2029,Invierno
21062029,21,6,2029,Invierno
22062029,22,6,2029,Invierno
23062029,23,6,2029,Invierno
24062029,24,6,2029,Invierno
25062029,25,6,2029,Invierno
26062029,26,6,2029,Invierno
27062029,27,6,2029,Invierno
28062029,28,6,2029,Invierno
29062029,29,6,2029,Invierno
30062029,30,6,2029,Invierno
1072029,1,7,2029,Invierno
2072029,2,7,2029,Invierno
3072029,3,7,2029,Invierno
4072029,4,7,2029,Invierno
5072029,5,7,2029,Invierno
6072029,6,7,2029,Invierno
7072029,7,7,2029,Invierno
8072029,8,7,2029,Invierno
9072029,9,7,2029,Invierno
10072029,10,7,2029,Invierno
11072029,11,7,2029,Invierno
12072029,12,7,2029,Invierno
13072029,13,7,2029,Invierno
14072029,14,7,2029,Invierno
15072029,15,7,2029,Invierno
16072029,16,7,2029,Invierno
17072029,17,7,2029,Invierno
18072029,18,7,2029,Invierno
19072029,19,7,2029,Invierno
20072029,20,7,2029,Invierno
21072029,21,7,2029,Invierno
22072029,22,7,2029,Invierno
23072029,23,7,2029,Invierno
24072029,24,7,2029,Invierno
25072029,25,7,2029,Invierno
26072029,26,7,2029,Invierno
27072029,27,7,2029,Invierno
28072029,28,7,2029,Invierno
29072029,29,7,2029,Invierno
30072029,30,7,2029,Invierno
31072029,31,7,2029,Invierno
1082029,1,8,2029,Invierno
2082029,2,8,2029,Invierno
3082029,3,8,2029,Invierno
4082029,4,8,2029,Invierno
5082029,5,8,2029,Invierno
6082029,6,8,2029,Invierno
7082029,7,8,2029,Invierno
8082029,8,8,2029,Invierno
9082029,9,8,2029,Invierno
10082029,10,8,2029,Invierno
11082029,11,8,2029,Invierno
12082029,12,8,2029,Invierno
13082029,13,8,2029,Invierno
14082029,14,8,2029,Invierno
15082029,15,8,2029,Invierno
16082029,16,8,2029,Invierno
17082029,17,8,2029,Invierno
18082029,18,8,2029,Invierno
19082029,19,8,2029,Invierno
20082029,20,8,2029,Invierno
21082029,21,8,2029,Invierno
22082029,22,8,2029,Invierno
23082029,23,8,2029,Invierno
24082029,24,8,2029,Invierno
25082029,25,8,2029,Invierno
26082029,26,8,2029,Invierno
27082029,27,8,2029,Invierno
28082029,28,8,2029,Invierno
29082029,29,8,2029,Invierno
30082029,30,8,2029,Invierno
31082029,31,8,2029,Invierno
1092029,1,9,2029,Primavera
2092029,2,9,2029,Primavera
3092029,3,9,2029,Primavera
4092029,4,9,2029,Primavera
5092029,5,9,2029,Primavera
6092029,6,9,2029,Primavera
7092029,7,9,2029,Primavera
8092029,8,9,2029,Primavera
9092029,9,9,2029,Primavera
10092029,10,9,2029,Primavera
11092029,11,9,2029,Primavera
12092029,12,9,2029,Primavera
13092029,13,9,2029,Primavera
14092029,14,9,2029,Primavera
15092029,15,9,2029,Primavera
16092029,16,9,2029,Primavera
17092029,17,9,2029,Primavera
18092029,18,9,2029,Primavera
19092029,19,9,2029,Primavera
20092029,20,9,2029,Primavera
21092029,21,9,2029,Primavera
22092029,22,9,2029,Primavera
23092029,23,9,2029,Primavera
24092029,24,9,2029,Primavera
25092029,25,9,2029,Primavera
26092029,26,9,2029,Primavera
27092029,27,9,2029,Primavera
28092029,28,9,2029,Primavera
29092029,29,9,2029,Primavera
30092029,30,9,2029,Primavera
1102029,1,10,2029,Primavera
2102029,2,10,2029,Primavera
3102029,3,10,2029,Primavera
4102029,4,10,2029,Primavera
5102029,5,10,2029,Primavera
6102029,6,10,2029,Primavera
7102029,7,10,2029,Primavera
8102029,8,10,2029,Primavera
9102029,9,10,2029,Primavera
10102029,10,10,2029,Primavera
11102029,11,10,2029,Primavera
12102029,12,10,2029,Primavera
13102029,13,10,2029,Primavera
14102029,14,10,2029,Primavera
15102029,15,10,2029,Primavera
16102029,16,10,2029,Primavera
17102029,17,10,2029,Primavera
18102029,18,10,2029,Primavera
19102029,19,10,2029,Primavera
20102029,20,10,2029,Primavera
21102029,21,10,2029,Primavera
22102029,22,10,2029,Primavera
23102029,23,10,2029,Primavera
24102029,24,10,2029,Primavera
25102029,25,10,2029,Primavera
26102029,26,10,2029,Primavera
27102029,27,10,2029,Primavera
28102029,28,10,2029,Primavera
29102029,29,10,2029,Primavera
30102029,30,10,2029,Primavera
31102029,31,10,2029,Primavera
1112029,1,11,2029,Primavera
2112029,2,11,2029,Primavera
3112029,3,11,2029,Primavera
4112029,4,11,2029,Primavera
5112029,5,11,2029,Primavera
6112029,6,11,2029,Primavera
7112029,7,11,2029,Primavera
8112029,8,11,2029,Primavera
9112029,9,11,2029,Primavera
10112029,10,11,2029,Primavera
11112029,11,11,2029,Primavera
12112029,12,11,2029,Primavera
13112029,13,11,2029,Primavera
14112029,14,11,2029,Primavera
15112029,15,11,2029,Primavera
16112029,16,11,2029,Primavera
17112029,17,11,2029,Primavera
18112029,18,11,2029,Primavera
19112029,19,11,2029,Primavera
20112029,20,11,2029,Primavera
21112029,21,11,2029,Primavera
22112029,22,11,2029,Primavera
23112029,23,11,2029,Primavera
24112029,24,11,2029,Primavera
25112029,25,11,2029,Primavera
26112029,26,11,2029,Primavera
27112029,27,11,2029,Primavera
28112029,28,11,2029,Primavera
29112029,29,11,2029,Primavera
30112029,30,11,2029,Primavera
1122029,1,12,2029,Verano
2122029,2,12,2029,Verano
3122029,3,12,2029,Verano
4122029,4,12,2029,Verano
5122029,5,12,2029,Verano
6122029,6,12,2029,Verano
7122029,7,12,2029,Verano
8122029,8,12,2029,Verano
9122029,9,12,2029,Verano
10122029,10,12,2029,Verano
11122029,11,12,2029,Verano
12122029,12,12,2029,Verano
13122029,13,12,2029,Verano
14122029,14,12,2029,Verano
15122029,15,12,2029,Verano
16122029,16,12,2029,Verano
17122029,17,12,2029,Verano
18122029,18,12,2029,Verano
19122029,19,12,2029,Verano
20122029,20,12,2029,Verano
21122029,21,12,2029,Verano
22122029,22,12,2029,Verano
23122029,23,12,2029,Verano
24122029,24,12,2029,Verano
25122029,25,12,2029,Verano
26122029,26,12,2029,Verano
27122029,27,12,2029,Verano
28122029,28,12,2029,Verano
29122029,29,12,2029,Verano
30122029,30,12,2029,Verano
31122029,31,12,2029,Verano
1012030,1,1,2030,Verano
2012030,2,1,2030,Verano
3012030,3,1,2030,Verano
4012030,4,1,2030,Verano
5012030,5,1,2030,Verano
6012030,6,1,2030,Verano
7012030,7,1,2030,Verano
8012030,8,1,2030,Verano
9012030,9,1,2030,Verano
10012030,10,1,2030,Verano
11012030,11,1,2030,Verano
12012030,12,1,2030,Verano
13012030,13,1,2030,Verano
14012030,14,1,2030,Verano
15012030,15,1,2030,Verano
16012030,16,1,2030,Verano
17012030,17,1,2030,Verano
18012030,18,1,2030,Verano
19012030,19,1,2030,Verano
20012030,20,1,2030,Verano
21012030,21,1,2030,Verano
22012030,22,1,2030,Verano
23012030,23,1,2030,Verano
24012030,24,1,2030,Verano
25012030,25,1,2030,Verano
26012030,26,1,2030,Verano
27012030,27,1,2030,Verano
28012030,28,1,2030,Verano
29012030,29,1,2030,Verano
30012030,30,1,2030,Verano
31012030,31,1,2030,Verano
1022030,1,2,2030,Verano
2022030,2,2,2030,Verano
3022030,3,2,2030,Verano
4022030,4,2,2030,Verano
5022030,5,2,2030,Verano
6022030,6,2,2030,Verano
7022030,7,2,2030,Verano
8022030,8,2,2030,Verano
9022030,9,2,2030,Verano
10022030,10,2,2030,Verano
11022030,11,2,2030,Verano
12022030,12,2,2030,Verano
13022030,13,2,2030,Verano
14022030,14,2,2030,Verano
15022030,15,2,2030,Verano
16022030,16,2,2030,Verano
17022030,17,2,2030,Verano
18022030,18,2,2030,Verano
19022030,19,2,2030,Verano
20022030,20,2,2030,Verano
21022030,21,2,2030,Verano
22022030,22,2,2030,Verano
23022030,23,2,2030,Verano
24022030,24,2,2030,Verano
25022030,25,2,2030,Verano
26022030,26,2,2030,Verano
27022030,27,2,2030,Verano
28022030,28,2,2030,Verano
1032030,1,3,2030,Otoño
2032030,2,3,2030,Otoño
3032030,3,3,2030,Otoño
4032030,4,3,2030,Otoño
5032030,5,3,2030,Otoño
