id_tiempo,id_campania,id_cliente,id_tipo_aviso,id_ubicacion_cliente,cantidad_publicaciones,costo_publicacion,conversiones
3122026,18,15,4,86,1,1800.0,0
4122026,28,12,2,46,1,1800.0,1
4122026,29,7,1,6,1,3500.0,1
5122026,16,13,5,56,1,1500.0,0
5122026,18,15,4,86,1,4000.0,0
5122026,38,28,6,196,1,2200.0,1
8122026,16,13,5,56,1,3100.0,0
8122026,20,5,1,13,1,4000.0,0
8122026,27,20,5,191,1,2200.0,0
8122026,36,26,1,166,1,3200.0,0
9122026,40,30,1,19,1,2500.0,0
10122026,18,15,4,86,1,3100.0,0
10122026,37,27,2,86,1,2800.0,1
12122026,29,7,4,6,1,3200.0,0
12122026,39,29,1,61,1,4000.0,0
14122026,28,12,6,46,1,2500.0,0
15122026,18,15,4,86,1,4000.0,1
15122026,19,18,3,146,1,2600.0,1
15122026,36,26,4,166,1,1800.0,1
18122026,18,15,4,86,1,2500.0,1
18122026,19,18,3,146,1,1100.0,0
18122026,39,29,4,61,1,2600.0,1
20122026,16,13,5,56,1,3100.0,1
20122026,30,9,3,9,1,2600.0,1
20122026,38,28,1,196,1,3500.0,0
21122026,40,30,2,19,1,1500.0,1
22122026,16,13,5,56,1,2200.0,1
22122026,20,5,1,13,1,3200.0,0
22122026,37,27,1,86,1,1100.0,0
28122026,30,9,5,9,1,2800.0,0
30112026,20,5,1,13,1,3200.0,1
30112026,27,20,1,191,1,1500.0,1
