id_tiempo,id_tipo_visita,id_usuario,id_sitioweb,id_ubicacion_usuario,id_emplazamiento,id_rango_etario,id_ubicacion_cliente,id_cliente,cantidad_visitas,costo_visitas_pagadas
3022026,1,16,2,6,10.0,1,1,2,1,4000.0
4082026,1,12,20,9,11.0,2,191,20,1,1100.0
5042026,1,31,1,3,2.0,3,1,1,1,2200.0
6022026,1,18,16,25,10.0,2,91,16,1,4000.0
6042026,1,39,18,19,5.0,4,146,18,1,3500.0
6082026,1,77,35,56,1.0,3,56,25,1,1500.0
7072026,1,51,1,4,3.0,2,1,1,1,1800.0
8032026,1,5,24,3,11.0,2,13,5,1,1100.0
8042026,1,40,20,3,9.0,4,191,20,1,3100.0
8072026,1,27,19,1,8.0,2,166,19,1,2800.0
9072026,1,12,20,9,7.0,2,191,20,1,2600.0
9082026,1,45,19,8,4.0,2,166,19,1,2500.0
10032026,1,3,2,4,3.0,4,1,2,1,1800.0
10042026,1,29,4,23,5.0,2,5,4,1,3500.0
11072026,1,55,4,11,7.0,2,5,4,1,2600.0
12012026,1,53,23,3,10.0,3,5,4,1,4000.0
12022026,1,3,1,4,4.0,4,1,1,1,2500.0
12032026,1,23,22,9,4.0,3,1,2,1,2500.0
12042026,1,49,9,14,2.0,2,9,9,1,2200.0
12052026,1,29,17,23,5.0,2,121,17,1,3500.0
12052026,1,68,30,25,2.0,4,191,20,1,2200.0
12062026,1,21,14,25,8.0,2,61,14,1,2800.0
13072026,1,63,9,5,5.0,4,9,9,1,3500.0
14022026,1,33,28,5,9.0,3,121,17,1,3100.0
14032026,1,13,10,5,2.0,2,7,10,1,2200.0
14042026,1,4,3,5,5.0,2,3,3,1,3500.0
14062026,1,25,12,11,1.0,2,46,12,1,1500.0
14062026,1,63,19,5,9.0,4,166,19,1,3100.0
15012026,1,5,4,3,10.0,2,5,4,1,4000.0
16032026,1,53,18,3,9.0,3,146,18,1,3100.0
16042026,1,43,14,6,2.0,2,61,14,1,2200.0
16082026,1,76,35,56,2.0,2,56,25,1,2200.0
18012026,1,31,21,3,6.0,3,1,1,1,3200.0
18012026,1,32,11,1,8.0,4,42,11,1,2800.0
18022026,1,70,15,19,1.0,4,86,15,1,1500.0
18032026,1,2,3,2,5.0,1,3,3,1,3500.0
18062026,1,28,16,6,1.0,2,91,16,1,1500.0
18062026,1,35,22,8,4.0,4,1,2,1,2500.0
19052026,1,48,7,25,8.0,2,6,7,1,2800.0
20042026,1,65,17,12,8.0,4,121,17,1,2800.0
20052026,1,25,18,11,2.0,2,146,18,1,2200.0
20062026,1,52,3,1,9.0,3,3,3,1,3100.0
20062026,1,52,15,1,4.0,3,86,15,1,2500.0
21052026,1,26,2,20,7.0,2,1,2,1,2600.0
21072026,1,45,19,8,8.0,2,166,19,1,2800.0
22012026,1,68,20,25,8.0,4,191,20,1,2800.0
22022026,1,31,25,3,4.0,3,15,6,1,2500.0
22052026,1,2,3,2,5.0,1,3,3,1,3500.0
22072026,1,66,1,1,3.0,4,1,1,1,1800.0
24062026,1,43,17,6,8.0,2,121,17,1,2800.0
24082026,1,63,19,5,6.0,4,166,19,1,3200.0
25012026,1,59,12,22,8.0,3,46,12,1,2800.0
25042026,1,20,24,4,2.0,2,13,5,1,2200.0
25072026,1,26,20,20,7.0,2,191,20,1,2600.0
26012026,1,9,22,6,9.0,2,1,2,1,3100.0
26072026,1,19,4,8,7.0,2,5,4,1,2600.0
27072026,1,25,9,11,5.0,2,9,9,1,3500.0
28012026,1,21,8,25,11.0,2,8,8,1,1100.0
28022026,1,12,1,9,6.0,2,1,1,1,3200.0
28022026,1,17,23,22,9.0,2,5,4,1,3100.0
28032026,1,56,29,5,10.0,2,146,18,1,4000.0
28042026,1,2,1,2,10.0,1,1,1,1,4000.0
28052026,1,3,2,4,9.0,4,1,2,1,3100.0
29082026,1,68,20,25,1.0,4,191,20,1,1500.0
30122025,1,69,18,4,9.0,4,146,18,1,3100.0
